entry_time_msc,exit_time_msc,direction,grade,tp_mode,entry_price,sl,tp,exit_price,exit_reason,lot,risk_pips,risk_usd,pnl_pips,pnl_usd,commission_usd,r_multiple,balance_after,sweep_depth_pips,reversal_kind,level_price
1716992580000,1716994080000,BUY,A,C,2344.5000,2342.5300,2346.0000,2342.5300,sl,2.53,1.970,500.00,-1.970,-516.12,17.71,-1.000,99483.88,0.32,engulf,2343.0500
1717072200000,1717072560000,SELL,B,C,2336.6750,2337.9700,2334.1700,2334.1700,tp,3.84,1.295,497.42,2.505,935.04,26.88,1.934,100418.92,0.12,pin,2337.6500
1717086780000,1717086840000,SELL,B,C,2343.7300,2345.5500,2341.6250,2345.5500,sl_minhold,2.75,1.820,502.09,-1.820,-519.75,19.25,-1.000,99899.17,0.17,engulf,2345.1800
1717417860000,1717419420000,BUY,A,C,2325.4000,2324.1000,2328.1800,2328.1800,tp,3.84,1.300,499.50,2.780,1040.64,26.88,2.138,100939.81,0.44,engulf,2324.7400
1717420800000,1717422060000,SELL,A,C,2327.3850,2329.4200,2324.9400,2329.4200,sl,2.48,2.035,504.70,-2.035,-522.04,17.36,-1.000,100417.77,0.44,engulf,2328.7800
1717428660000,1717428720000,SELL,B,C,2331.1400,2332.7900,2327.5500,2332.7900,sl_minhold,3.04,1.650,502.09,-1.650,-522.88,21.28,-1.000,99894.89,0.25,pin,2332.3400
1717510680000,1717510860000,BUY,B,C,2327.6800,2326.4900,2329.9300,2326.4900,sl,4.19,1.190,499.47,-1.190,-527.94,29.33,-1.000,99366.95,0.12,engulf,2326.8100
1717685520000,1717686120000,BUY,B,C,2360.1800,2358.9700,2361.7700,2358.9700,sl,4.10,1.210,496.83,-1.210,-524.80,28.70,-1.000,98842.15,0.14,engulf,2359.3100
1717688760000,1717689060000,BUY,B,C,2358.3850,2356.3600,2361.7500,2356.3600,sl,2.44,2.025,494.21,-2.025,-511.18,17.08,-1.000,98330.97,0.19,pin,2356.7500
1718725680000,1718726100000,SELL,B,C,2320.3050,2324.3300,2315.0550,2315.0550,tp,1.22,4.025,491.65,5.250,631.96,8.54,1.304,98962.93,0.43,engulf,2323.7000
